X_DE;X_FE;ESTADO
0.010016;-0.35757879;IR_007
-0.023788;-0.24455101;IR_007
-0.00792933;-0.1870096;IR_007
0.078876;-0.19070869;IR_007
0.202824;-0.19070869;IR_007
0.289212;-0.14385354;IR_007
0.27251867;-0.07439283;IR_007
0.17486267;0.06535061;IR_007
0.06844267;0.2359198;IR_007
0.02086667;0.39210364;IR_007
0.0626;0.5573297;IR_007
0.13772;0.71145848;IR_007
0.215344;0.8261303;IR_007
0.30882667;0.81996515;IR_007
0.41149067;0.70200525;IR_007
0.54462;0.49978828;IR_007
0.64937067;0.26880061;IR_007
0.69402533;0.12535808;IR_007
0.61681867;0.03781293;IR_007
0.43986933;-0.02342758;IR_007
0.28128267;-0.10891768;IR_007
0.151492;-0.19481879;IR_007
0.08764;-0.19810687;IR_007
0.03296933;-0.12987919;IR_007
-0.0313;0.04849919;IR_007
-0.06593867;0.22728859;IR_007
-0.058844;0.3296301;IR_007
-0.00584267;0.34113838;IR_007
0.00166933;0.21249222;IR_007
-0.067608;0.02918172;IR_007
-0.182792;-0.21125919;IR_007
-0.29505467;-0.41635323;IR_007
-0.31759067;-0.54294434;IR_007
-0.27251867;-0.55568566;IR_007
-0.189052;-0.40813303;IR_007
-0.07428533;-0.25770333;IR_007
0.04089867;-0.11467182;IR_007
0.1565;-0.13111222;IR_007
0.247896;-0.21783535;IR_007
0.28128267;-0.28195293;IR_007
0.24080133;-0.37730727;IR_007
0.136468;-0.31565576;IR_007
0.01085067;-0.23263172;IR_007
-0.09223067;-0.05343131;IR_007
-0.170272;0.23797485;IR_007
-0.21617867;0.55979576;IR_007
-0.27377067;0.90545525;IR_007
-0.295472;107.109.232;IR_007
-0.23328933;106.698.222;IR_007
-0.09556933;0.86476525;IR_007
0.107672;0.57993525;IR_007
0.280448;0.30620253;IR_007
0.40898667;0.13974343;IR_007
0.43861733;0.16029394;IR_007
0.37893867;0.19892889;IR_007
0.30131467;0.28277495;IR_007
0.16902;0.33209616;IR_007
0.00417333;0.35100263;IR_007
-0.17444533;0.32593101;IR_007
-0.31258267;0.18536556;IR_007
-0.313;0.01150828;IR_007
-0.24455733;-0.23509778;IR_007
-0.122696;-0.40731101;IR_007
0.03046533;-0.46320838;IR_007
0.13730267;-0.41347616;IR_007
0.23162;-0.24701707;IR_007
0.26751067;-0.10645162;IR_007
0.284204;0.04110101;IR_007
0.24747867;0.18536556;IR_007
0.09849067;0.28647404;IR_007
-0.04340267;0.31853283;IR_007
-0.14439733;0.25893636;IR_007
-0.14564933;0.13892141;IR_007
-0.067608;-0.00739818;IR_007
-0.00709467;-0.10686263;IR_007
0.03171733;-0.20386101;IR_007
0.021284;-0.28483;IR_007
-0.00792933;-0.35429071;IR_007
-0.020032;-0.40813303;IR_007
-0.04215067;-0.38306141;IR_007
-0.07720667;-0.29387222;IR_007
-0.140224;-0.15330677;IR_007
-0.14189333;-0.0324698;IR_007
-0.03672533;0.01397434;IR_007
0.08346667;-0.03082576;IR_007
0.21617867;-0.10727364;IR_007
0.255408;-0.17961141;IR_007
0.172776;-0.22071242;IR_007
0.03463867;-0.21701333;IR_007
-0.184044;-0.20345;IR_007
-0.396884;-0.16851414;IR_007
-0.614732;-0.11097273;IR_007
-0.67399333;-0.02671566;IR_007
-0.4382;0.03863495;IR_007
0.055088;0.04521111;IR_007
0.821312;-0.03863495;IR_007
164.095.467;-0.19317475;IR_007
223.148.133;-0.33004111;IR_007
248.939.333;-0.39251465;IR_007
250.316.533;-0.39415869;IR_007
227.905.733;-0.35634576;IR_007
190.596.133;-0.29551626;IR_007
1.463.588;-0.23920788;IR_007
0.96237067;-0.12741313;IR_007
0.46324;0.01150828;IR_007
0.102664;0.11960394;IR_007
0.02587467;0.19440778;IR_007
0.06426933;0.19440778;IR_007
0.09849067;0.21290323;IR_007
-0.08930933;0.32264293;IR_007
-0.54921067;0.50800848;IR_007
-0.99367067;0.70364929;IR_007
-1.278.292;0.78050818;IR_007
-133.504.933;0.74187323;IR_007
-1.168.116;0.61322707;IR_007
-0.82924133;0.49115707;IR_007
-0.44279067;0.45663222;IR_007
-0.010016;0.48828;IR_007
0.48869733;0.47019556;IR_007
0.89559733;0.3214099;IR_007
1.061.696;0.12494707;IR_007
0.94859867;-0.12001495;IR_007
0.560896;-0.31072364;IR_007
-0.01961467;-0.40155687;IR_007
-0.684844;-0.36703202;IR_007
-137.177.467;-0.22811061;IR_007
-1.916.812;-0.0324698;IR_007
-218.390.533;0.22728859;IR_007
-205.954;0.38963758;IR_007
-154.830.667;0.48745798;IR_007
-0.78083067;0.40443394;IR_007
0.05341867;0.25071616;IR_007
0.76455467;0.18659859;IR_007
136.468;0.12700212;IR_007
1.775.336;0.24085192;IR_007
189.970.133;0.37237515;IR_007
172.358.667;0.48293687;IR_007
124.365.333;0.62637939;IR_007
0.564652;0.81051192;IR_007
-0.14690133;0.98847929;IR_007
-0.691104;109.904.101;IR_007
-0.99742667;117.055.677;IR_007
-1.110.524;105.013.081;IR_007
-1.130.556;0.93134889;IR_007
-107.713.733;0.81338899;IR_007
-0.95819733;0.66172626;IR_007
-0.75704267;0.58157929;IR_007
-0.47576;0.47841576;IR_007
-0.216596;0.37566323;IR_007
-0.03589067;0.23509778;IR_007
-0.03046533;0.04521111;IR_007
-0.09223067;-0.22030141;IR_007
-0.10016;-0.51869475;IR_007
-0.07845867;-0.72789889;IR_007
-0.01168533;-0.90175616;IR_007
0.06593867;-0.99669949;IR_007
0.16568133;-103.327.939;IR_007
0.28003067;-113.932;IR_007
0.38019067;-119.686.141;IR_007
0.44988533;-118.288.707;IR_007
0.405648;-102.588.121;IR_007
0.245392;-0.69542909;IR_007
0.022536;-0.31565576;IR_007
-0.15232667;0.00246606;IR_007
-0.20699733;0.1261801;IR_007
-0.20741467;0.08138;IR_007
-0.12812133;-0.13193424;IR_007
0.041316;-0.34607051;IR_007
0.30089733;-0.49937727;IR_007
0.648536;-0.56185081;IR_007
0.977812;-0.41881929;IR_007
1.200.668;-0.23797485;IR_007
121.652.667;0.01438535;IR_007
107.588.533;0.25893636;IR_007
0.89684933;0.35511273;IR_007
0.70571067;0.39621374;IR_007
0.558392;0.31894384;IR_007
0.421924;0.14714162;IR_007
0.29129867;-0.01561838;IR_007
0.22369067;-0.0937103;IR_007
0.23370667;-0.10193051;IR_007
0.33470133;0.06740566;IR_007
0.45781467;0.41470919;IR_007
0.515824;0.66583636;IR_007
0.49161867;0.84462576;IR_007
0.40397867;0.83517253;IR_007
0.334284;0.59185455;IR_007
0.30465333;0.33086313;IR_007
0.27877867;0.11220576;IR_007
0.26918;-0.01356333;IR_007
0.24497467;-0.08343505;IR_007
0.21242267;-0.18865364;IR_007
0.19990267;-0.41388717;IR_007
0.19113867;-0.63747667;IR_007
0.09932533;-0.7813302;IR_007
-0.070112;-0.92271768;IR_007
-0.21743067;-0.88819283;IR_007
-0.30131467;-0.85120192;IR_007
-0.277944;-0.85120192;IR_007
-0.16317733;-0.74557232;IR_007
0.038812;-0.69173;IR_007
0.30882667;-0.53061404;IR_007
0.587188;-0.33867232;IR_007
0.790012;-0.14878566;IR_007
0.83341467;0.05055424;IR_007
0.684844;0.23057667;IR_007
0.35014267;0.40854404;IR_007
-0.08930933;0.5330801;IR_007
-0.50872933;0.75584758;IR_007
-0.78542133;0.91573051;IR_007
-0.86930533;107.479.141;IR_007
-0.78416933;114.795.121;IR_007
-0.59762133;0.98560222;IR_007
-0.334284;0.73940717;IR_007
-0.01418933;0.34565949;IR_007
0.30966133;0.01109727;IR_007
0.60680267;-0.11426081;IR_007
0.70904933;0.01438535;IR_007
0.602212;0.27948687;IR_007
0.326772;0.54910949;IR_007
-0.05592267;0.67323455;IR_007
-0.339292;0.50718646;IR_007
-0.51290267;0.33661727;IR_007
-0.574668;0.13768838;IR_007
-0.56173067;-0.0772699;IR_007
-0.477012;-0.21249222;IR_007
-0.374348;-0.35305768;IR_007
-0.33637067;-0.39251465;IR_007
-0.29422;-0.24907212;IR_007
-0.274188;0.07357081;IR_007
-0.28003067;0.47266162;IR_007
-0.27460533;0.82284222;IR_007
-0.209084;0.95313242;IR_007
-0.076372;0.86394323;IR_007
0.063852;0.69337404;IR_007
0.221604;0.48828;IR_007
0.399388;0.32305394;IR_007
0.55296667;0.23468677;IR_007
0.62933867;0.16070495;IR_007
0.535856;0.10234152;IR_007
0.30006267;0.09946444;IR_007
0.02086667;0.09946444;IR_007
-0.24372267;0.12083697;IR_007
-0.37267867;0.15084071;IR_007
-0.35097733;0.13892141;IR_007
-0.24956533;0.16810313;IR_007
-0.102664;0.20879313;IR_007
0.047576;0.15330677;IR_007
0.21701333;0.03863495;IR_007
0.39438;-0.13809939;IR_007
0.53168267;-0.32839707;IR_007
0.572164;-0.41964131;IR_007
0.48368933;-0.40813303;IR_007
0.35097733;-0.3419604;IR_007
0.24080133;-0.25482626;IR_007
0.15691733;-0.19892889;IR_007
0.08972667;-0.18372152;IR_007
0.030048;-0.12741313;IR_007
-0.03422133;-0.07192677;IR_007
-0.07845867;-0.07891394;IR_007
-0.03046533;-0.15289576;IR_007
0.10642;-0.27743182;IR_007
0.24414;-0.35141364;IR_007
0.33595333;-0.25564828;IR_007
0.38102533;-0.02013949;IR_007
0.39020667;0.22728859;IR_007
0.38478133;0.34401545;IR_007
0.330528;0.26016939;IR_007
0.26709333;0.06658364;IR_007
0.21450933;-0.11919293;IR_007
0.21242267;-0.24372899;IR_007
0.316756;-0.31401172;IR_007
0.45405867;-0.3214099;IR_007
0.59136133;-0.32428697;IR_007
0.64060667;-0.29099515;IR_007
0.560896;-0.13481131;IR_007
0.37977333;0.04438909;IR_007
0.14982267;0.18577657;IR_007
-0.06802533;0.23961889;IR_007
-0.25624267;0.18988667;IR_007
-0.39354533;0.14097646;IR_007
-0.440704;0.13686636;IR_007
-0.35765467;0.16070495;IR_007
-0.21075333;0.17056919;IR_007
-0.02295333;0.15988293;IR_007
0.12060933;0.10234152;IR_007
0.10934133;0.09206626;IR_007
-0.021284;0.14508657;IR_007
-0.216596;0.14673061;IR_007
-0.38728533;0.16604808;IR_007
-0.48869733;0.15741687;IR_007
-0.5008;0.15371778;IR_007
-0.42568;0.19975091;IR_007
-0.27001467;0.22728859;IR_007
-0.03046533;0.16604808;IR_007
0.230368;-0.00986424;IR_007
0.45906667;-0.17139121;IR_007
0.58677067;-0.28770707;IR_007
0.56131333;-0.22975465;IR_007
0.42359333;-0.02055051;IR_007
0.23621067;0.19194172;IR_007
0.05174933;0.4718396;IR_007
-0.086388;0.7159796;IR_007
-0.18070533;0.93628101;IR_007
-0.199068;112.246.859;IR_007
-0.101412;113.808.697;IR_007
0.04841067;0.97984808;IR_007
0.214092;0.72584384;IR_007
0.30966133;0.54253333;IR_007
0.28587333;0.48581394;IR_007
0.176532;0.59267657;IR_007
-0.022536;0.69707313;IR_007
-0.18237467;0.63829869;IR_007
-0.265424;0.43197162;IR_007
-0.24497467;0.10521859;IR_007
-0.11894;-0.20262798;IR_007
0.072616;-0.40813303;IR_007
0.324268;-0.49362313;IR_007
0.52917867;-0.51787273;IR_007
0.65104;-0.46279737;IR_007
0.577172;-0.36621;IR_007
0.32134667;-0.28852909;IR_007
-0.008764;-0.21619131;IR_007
-0.349308;-0.2276996;IR_007
-0.57508533;-0.28113091;IR_007
-0.69277333;-0.36785404;IR_007
-0.70821467;-0.49197909;IR_007
-0.609724;-0.63048949;IR_007
-0.441956;-0.79653758;IR_007
-0.23245467;-0.91614152;IR_007
0.001252;-0.95272141;IR_007
0.18195733;-0.84914687;IR_007
0.26876267;-0.64076475;IR_007
0.27961333;-0.45498818;IR_007
0.28128267;-0.33250717;IR_007
0.32844133;-0.25030515;IR_007
0.37351333;-0.15330677;IR_007
0.39145867;0.01890646;IR_007
0.37977333;0.27414374;IR_007
0.35097733;0.48745798;IR_007
0.26834533;0.57048202;IR_007
0.13605067;0.50184333;IR_007
-0.02462267;0.33127414;IR_007
-0.21450933;0.18742061;IR_007
-0.36600133;0.15207374;IR_007
-0.403144;0.22564455;IR_007
-0.27502267;0.35182465;IR_007
-0.03213467;0.50759747;IR_007
0.24706133;0.6428198;IR_007
0.52542267;0.70570434;IR_007
0.729916;0.65638313;IR_007
0.812548;0.42868354;IR_007
0.80670533;0.08590111;IR_007
0.69026933;-0.29222818;IR_007
0.44028667;-0.58774444;IR_007
0.083884;-0.67981071;IR_007
-0.28503867;-0.60952798;IR_007
-0.55547067;-0.37689626;IR_007
-0.696112;-0.03082576;IR_007
-0.68901733;0.29962636;IR_007
-0.56423467;0.55280859;IR_007
-0.36308;0.66583636;IR_007
-0.12603467;0.5614398;IR_007
0.11101067;0.32182091;IR_007
0.282952;0.05260929;IR_007
0.30256667;-0.14919667;IR_007
0.19364267;-0.21454727;IR_007
0.02462267;-0.20797111;IR_007
-0.10808933;-0.18659859;IR_007
-0.110176;-0.15782788;IR_007
0.00166933;-0.12494707;IR_007
0.18613067;-0.05425333;IR_007
0.399388;0.06699465;IR_007
0.585936;0.12494707;IR_007
0.72323867;0.16810313;IR_007
0.774988;0.15906091;IR_007
0.69527733;0.1668701;IR_007
0.45072;0.26427949;IR_007
0.11601867;0.36867606;IR_007
-0.205328;0.50266535;IR_007
-0.45072;0.55897374;IR_007
-0.578424;0.60007475;IR_007
-0.647284;0.58116828;IR_007
-0.703624;0.56760495;IR_007
-0.74160133;0.60130778;IR_007
-0.75412133;0.5330801;IR_007
-0.74577467;0.42046333;IR_007
-0.74786133;0.19769586;IR_007
-0.66397733;-0.03164778;IR_007
-0.39479733;-0.21084818;IR_007
0.03338667;-0.3337402;IR_007
